admin0Pcode,admin0Name_en,admin0Name_fr,admin1Pcode,admin1Name_en,admin1Name_fr,admin2Pcode,admin2Name_en,admin2Name_fr,admin3Pcode,admin3Name_en,admin3Name_fr
GN,Guinea,Guinée,GN-KA,Kindia,Kindia,GN-KA-COY,Coyah,Coyah,GN-KA-COY-MAN,Manéah,Manéah
GN,Guinea,Guinée,GN-KA,Kindia,Kindia,GN-KA-DUB,Dubréka,Dubréka,GN-KA-DUB-TAN,Tanéné,Tanéné
GN,Guinea,Guinée,GN-CO,Conakry,Conakry,GN-CO-MAT,Matam,Matam,GN-CO-MAT-BOU,Boulevard,Boulevard
GN,Guinea,Guinée,GN-CO,Conakry,Conakry,GN-CO-RAT,Ratoma,Ratoma,GN-CO-RAT-KIP,Kipé,Kipé
